chinese,english,targetWords,audioSentenceFilename,audioEnglishFilename,tags,difficulty
我看见但是。,I see a but.,但是,audio/sentences/我看见但是。.mp3,audio/sentence_meanings/I-see-a-but.mp3,LMS;clip-pack,2
我看见位。,I see a measure word.,位,audio/sentences/我看见位。.mp3,audio/sentence_meanings/I-see-a-measure-word.mp3,LMS;clip-pack,2
我看见来自。,I see to come from.,来自,audio/sentences/我看见来自。.mp3,audio/sentence_meanings/I-see-to-come-from.mp3,LMS;clip-pack,2
我看见们。,I see a plural suffix for people.,们,audio/sentences/我看见们。.mp3,audio/sentence_meanings/I-see-a-plural-suffix-for-people.mp3,LMS;clip-pack,2
我看见兄弟。,I see a brother.,兄弟,audio/sentences/我看见兄弟。.mp3,audio/sentence_meanings/I-see-a-brother.mp3,LMS;clip-pack,2
我看见光。,I see a light.,光,audio/sentences/我看见光。.mp3,audio/sentence_meanings/I-see-a-light.mp3,LMS;clip-pack,2
我看见出生。,I see to be born.,出生,audio/sentences/我看见出生。.mp3,audio/sentence_meanings/I-see-to-be-born.mp3,LMS;clip-pack,2
我看见刀。,I see a knife.,刀,audio/sentences/我看见刀。.mp3,audio/sentence_meanings/I-see-a-knife.mp3,LMS;clip-pack,2
我看见到家。,I see to arrive home.,到家,audio/sentences/我看见到家。.mp3,audio/sentence_meanings/I-see-to-arrive-home.mp3,LMS;clip-pack,2
我看见刚才。,I see a just now.,刚才,audio/sentences/我看见刚才。.mp3,audio/sentence_meanings/I-see-a-just-now.mp3,LMS;clip-pack,2
我看见动物。,I see an animal.,动物,audio/sentences/我看见动物。.mp3,audio/sentence_meanings/I-see-an-animal.mp3,LMS;clip-pack,2
我看见北。,I see a north.,北,audio/sentences/我看见北。.mp3,audio/sentence_meanings/I-see-a-north.mp3,LMS;clip-pack,2
我看见友好。,I see a friendly.,友好,audio/sentences/我看见友好。.mp3,audio/sentence_meanings/I-see-a-friendly.mp3,LMS;clip-pack,2
我看见可怕。,I see a terrible.,可怕,audio/sentences/我看见可怕。.mp3,audio/sentence_meanings/I-see-a-terrible.mp3,LMS;clip-pack,2
我看见向。,I see a toward.,向,audio/sentences/我看见向。.mp3,audio/sentence_meanings/I-see-a-toward.mp3,LMS;clip-pack,2
我看见哪里。,I see a where.,哪里,audio/sentences/我看见哪里。.mp3,audio/sentence_meanings/I-see-a-where.mp3,LMS;clip-pack,2
我看见哭。,I see to cry.,哭,audio/sentences/我看见哭。.mp3,audio/sentence_meanings/I-see-to-cry.mp3,LMS;clip-pack,2
我看见唱。,I see to sing.,唱,audio/sentences/我看见唱。.mp3,audio/sentence_meanings/I-see-to-sing.mp3,LMS;clip-pack,2
我看见啊。,I see an exclamation particle.,啊,audio/sentences/我看见啊。.mp3,audio/sentence_meanings/I-see-an-exclamation-particle.mp3,LMS;clip-pack,2
我看见喊叫。,I see to shout.,喊叫,audio/sentences/我看见喊叫。.mp3,audio/sentence_meanings/I-see-to-shout.mp3,LMS;clip-pack,2
我看见四周。,I see all around.,四周,audio/sentences/我看见四周。.mp3,audio/sentence_meanings/I-see-all-around.mp3,LMS;clip-pack,2
我看见国王。,I see a king.,国王,audio/sentences/我看见国王。.mp3,audio/sentence_meanings/I-see-a-king.mp3,LMS;clip-pack,2
我看见地。,I see a structural particle.,地,audio/sentences/我看见地。.mp3,audio/sentence_meanings/I-see-a-structural-particle.mp3,LMS;clip-pack,2
我看见地方。,I see a place.,地方,audio/sentences/我看见地方。.mp3,audio/sentence_meanings/I-see-a-place.mp3,LMS;clip-pack,2
我看见地狱。,I see a hell.,地狱,audio/sentences/我看见地狱。.mp3,audio/sentence_meanings/I-see-a-hell.mp3,LMS;clip-pack,2
我看见地球。,I see an Earth.,地球,audio/sentences/我看见地球。.mp3,audio/sentence_meanings/I-see-an-Earth.mp3,LMS;clip-pack,2
我看见多么。,I see a how.,多么,audio/sentences/我看见多么。.mp3,audio/sentence_meanings/I-see-a-how.mp3,LMS;clip-pack,2
我看见大地。,I see the earth.,大地,audio/sentences/我看见大地。.mp3,audio/sentence_meanings/I-see-the-earth.mp3,LMS;clip-pack,2
我看见大海。,I see the sea.,大海,audio/sentences/我看见大海。.mp3,audio/sentence_meanings/I-see-the-sea.mp3,LMS;clip-pack,2
我看见大风。,I see a strong wind.,大风,audio/sentences/我看见大风。.mp3,audio/sentence_meanings/I-see-a-strong-wind.mp3,LMS;clip-pack,2
我看见天上。,I see an in the sky.,天上,audio/sentences/我看见天上。.mp3,audio/sentence_meanings/I-see-an-in-the-sky.mp3,LMS;clip-pack,2
我看见天地。,I see a heaven and earth.,天地,audio/sentences/我看见天地。.mp3,audio/sentence_meanings/I-see-a-heaven-and-earth.mp3,LMS;clip-pack,2
我看见姐妹。,I see a sisters.,姐妹,audio/sentences/我看见姐妹。.mp3,audio/sentence_meanings/I-see-a-sisters.mp3,LMS;clip-pack,2
我看见学会。,I see to learn.,学会,audio/sentences/我看见学会。.mp3,audio/sentence_meanings/I-see-to-learn.mp3,LMS;clip-pack,2
我看见安全。,I see a safe.,安全,audio/sentences/我看见安全。.mp3,audio/sentence_meanings/I-see-a-safe.mp3,LMS;clip-pack,2
我看见宫殿。,I see a palace.,宫殿,audio/sentences/我看见宫殿。.mp3,audio/sentence_meanings/I-see-a-palace.mp3,LMS;clip-pack,2
我看见害怕。,I see to be afraid.,害怕,audio/sentences/我看见害怕。.mp3,audio/sentence_meanings/I-see-to-be-afraid.mp3,LMS;clip-pack,2
我看见容易。,I see an easy.,容易,audio/sentences/我看见容易。.mp3,audio/sentence_meanings/I-see-an-easy.mp3,LMS;clip-pack,2
我看见山。,I see a mountain.,山,audio/sentences/我看见山。.mp3,audio/sentence_meanings/I-see-a-mountain.mp3,LMS;clip-pack,2
我看见山顶。,I see a mountaintop.,山顶,audio/sentences/我看见山顶。.mp3,audio/sentence_meanings/I-see-a-mountaintop.mp3,LMS;clip-pack,2
我看见带。,I see to bring.,带,audio/sentences/我看见带。.mp3,audio/sentence_meanings/I-see-to-bring.mp3,LMS;clip-pack,2
我看见年轻。,I see a young.,年轻,audio/sentences/我看见年轻。.mp3,audio/sentence_meanings/I-see-a-young.mp3,LMS;clip-pack,2
我看见床。,I see a bed.,床,audio/sentences/我看见床。.mp3,audio/sentence_meanings/I-see-a-bed.mp3,LMS;clip-pack,2
我看见座。,I see a measure word.,座,audio/sentences/我看见座。.mp3,audio/sentence_meanings/I-see-a-measure-word.mp3,LMS;clip-pack,2
我看见张开。,I see to open.,张开,audio/sentences/我看见张开。.mp3,audio/sentence_meanings/I-see-to-open.mp3,LMS;clip-pack,2
我看见后。,I see an after.,后,audio/sentences/我看见后。.mp3,audio/sentence_meanings/I-see-an-after.mp3,LMS;clip-pack,2
我看见得到。,I see to get.,得到,audio/sentences/我看见得到。.mp3,audio/sentence_meanings/I-see-to-get.mp3,LMS;clip-pack,2
我看见必须。,I see a must.,必须,audio/sentences/我看见必须。.mp3,audio/sentence_meanings/I-see-a-must.mp3,LMS;clip-pack,2
我看见怕。,I see to fear.,怕,audio/sentences/我看见怕。.mp3,audio/sentence_meanings/I-see-to-fear.mp3,LMS;clip-pack,2
我看见想到。,I see to think of.,想到,audio/sentences/我看见想到。.mp3,audio/sentence_meanings/I-see-to-think-of.mp3,LMS;clip-pack,2
我看见愉快。,I see a pleasant.,愉快,audio/sentences/我看见愉快。.mp3,audio/sentence_meanings/I-see-a-pleasant.mp3,LMS;clip-pack,2
我看见感到。,I see to feel.,感到,audio/sentences/我看见感到。.mp3,audio/sentence_meanings/I-see-to-feel.mp3,LMS;clip-pack,2
我看见应该。,I see a should.,应该,audio/sentences/我看见应该。.mp3,audio/sentence_meanings/I-see-a-should.mp3,LMS;clip-pack,2
我看见怀孕。,I see a pregnant.,怀孕,audio/sentences/我看见怀孕。.mp3,audio/sentence_meanings/I-see-a-pregnant.mp3,LMS;clip-pack,2
我看见所以。,I see a so.,所以,audio/sentences/我看见所以。.mp3,audio/sentence_meanings/I-see-a-so.mp3,LMS;clip-pack,2
我看见打。,I see to hit.,打,audio/sentences/我看见打。.mp3,audio/sentence_meanings/I-see-to-hit.mp3,LMS;clip-pack,2
我看见把。,I see a disposal particle.,把,audio/sentences/我看见把。.mp3,audio/sentence_meanings/I-see-a-disposal-particle.mp3,LMS;clip-pack,2
我看见拍手。,I see to clap hands.,拍手,audio/sentences/我看见拍手。.mp3,audio/sentence_meanings/I-see-to-clap-hands.mp3,LMS;clip-pack,2
我看见拿起。,I see to pick up.,拿起,audio/sentences/我看见拿起。.mp3,audio/sentence_meanings/I-see-to-pick-up.mp3,LMS;clip-pack,2
我看见担心。,I see to worry.,担心,audio/sentences/我看见担心。.mp3,audio/sentence_meanings/I-see-to-worry.mp3,LMS;clip-pack,2
我看见放心。,I see to feel at ease.,放心,audio/sentences/我看见放心。.mp3,audio/sentence_meanings/I-see-to-feel-at-ease.mp3,LMS;clip-pack,2
我看见方。,I see a square.,方,audio/sentences/我看见方。.mp3,audio/sentence_meanings/I-see-a-square.mp3,LMS;clip-pack,2
我看见时。,I see a time.,时,audio/sentences/我看见时。.mp3,audio/sentence_meanings/I-see-a-time.mp3,LMS;clip-pack,2
我看见晚。,I see a late.,晚,audio/sentences/我看见晚。.mp3,audio/sentence_meanings/I-see-a-late.mp3,LMS;clip-pack,2
我看见晚安。,I see a good night.,晚安,audio/sentences/我看见晚安。.mp3,audio/sentence_meanings/I-see-a-good-night.mp3,LMS;clip-pack,2
我看见智慧。,I see a wisdom.,智慧,audio/sentences/我看见智慧。.mp3,audio/sentence_meanings/I-see-a-wisdom.mp3,LMS;clip-pack,2
我看见更。,I see an even more.,更,audio/sentences/我看见更。.mp3,audio/sentence_meanings/I-see-an-even-more.mp3,LMS;clip-pack,2
我看见最后。,I see a finally.,最后,audio/sentences/我看见最后。.mp3,audio/sentence_meanings/I-see-a-finally.mp3,LMS;clip-pack,2
我看见最近。,I see a recently.,最近,audio/sentences/我看见最近。.mp3,audio/sentence_meanings/I-see-a-recently.mp3,LMS;clip-pack,2
我看见月亮。,I see a moon.,月亮,audio/sentences/我看见月亮。.mp3,audio/sentence_meanings/I-see-a-moon.mp3,LMS;clip-pack,2
我看见有些。,I see a some.,有些,audio/sentences/我看见有些。.mp3,audio/sentence_meanings/I-see-a-some.mp3,LMS;clip-pack,2
我看见有力。,I see a powerful.,有力,audio/sentences/我看见有力。.mp3,audio/sentence_meanings/I-see-a-powerful.mp3,LMS;clip-pack,2
我看见有点。,I see a little.,有点,audio/sentences/我看见有点。.mp3,audio/sentence_meanings/I-see-a-little.mp3,LMS;clip-pack,2
我看见果。,I see a fruit.,果,audio/sentences/我看见果。.mp3,audio/sentence_meanings/I-see-a-fruit.mp3,LMS;clip-pack,2
我看见森林。,I see a forest.,森林,audio/sentences/我看见森林。.mp3,audio/sentence_meanings/I-see-a-forest.mp3,LMS;clip-pack,2
我看见极大。,I see an extremely large.,极大,audio/sentences/我看见极大。.mp3,audio/sentence_meanings/I-see-an-extremely-large.mp3,LMS;clip-pack,2
我看见树。,I see a tree.,树,audio/sentences/我看见树。.mp3,audio/sentence_meanings/I-see-a-tree.mp3,LMS;clip-pack,2
我看见歌。,I see a song.,歌,audio/sentences/我看见歌。.mp3,audio/sentence_meanings/I-see-a-song.mp3,LMS;clip-pack,2
我看见欢迎。,I see to welcome.,欢迎,audio/sentences/我看见欢迎。.mp3,audio/sentence_meanings/I-see-to-welcome.mp3,LMS;clip-pack,2
我看见死。,I see to die.,死,audio/sentences/我看见死。.mp3,audio/sentence_meanings/I-see-to-die.mp3,LMS;clip-pack,2
我看见段。,I see a section.,段,audio/sentences/我看见段。.mp3,audio/sentence_meanings/I-see-a-section.mp3,LMS;clip-pack,2
我看见没。,I see a not.,没,audio/sentences/我看见没。.mp3,audio/sentence_meanings/I-see-a-not.mp3,LMS;clip-pack,2
我看见河流。,I see a river.,河流,audio/sentences/我看见河流。.mp3,audio/sentence_meanings/I-see-a-river.mp3,LMS;clip-pack,2
我看见洗澡。,I see to bathe.,洗澡,audio/sentences/我看见洗澡。.mp3,audio/sentence_meanings/I-see-to-bathe.mp3,LMS;clip-pack,2
我看见洲。,I see a continent.,洲,audio/sentences/我看见洲。.mp3,audio/sentence_meanings/I-see-a-continent.mp3,LMS;clip-pack,2
我看见海。,I see a sea.,海,audio/sentences/我看见海。.mp3,audio/sentence_meanings/I-see-a-sea.mp3,LMS;clip-pack,2
我看见海边。,I see a seaside.,海边,audio/sentences/我看见海边。.mp3,audio/sentence_meanings/I-see-a-seaside.mp3,LMS;clip-pack,2
我看见火焰。,I see a flame.,火焰,audio/sentences/我看见火焰。.mp3,audio/sentence_meanings/I-see-a-flame.mp3,LMS;clip-pack,2
我看见为。,I see a for.,为,audio/sentences/我看见为。.mp3,audio/sentence_meanings/I-see-a-for.mp3,LMS;clip-pack,2
我看见无法无天。,I see a lawless.,无法无天,audio/sentences/我看见无法无天。.mp3,audio/sentence_meanings/I-see-a-lawless.mp3,LMS;clip-pack,2
我看见猴。,I see a monkey.,猴,audio/sentences/我看见猴。.mp3,audio/sentence_meanings/I-see-a-monkey.mp3,LMS;clip-pack,2
我看见瓶子。,I see a bottle.,瓶子,audio/sentences/我看见瓶子。.mp3,audio/sentence_meanings/I-see-a-bottle.mp3,LMS;clip-pack,2
我看见当然。,I see an of course.,当然,audio/sentences/我看见当然。.mp3,audio/sentence_meanings/I-see-an-of-course.mp3,LMS;clip-pack,2
我看见发出。,I see to send out.,发出,audio/sentences/我看见发出。.mp3,audio/sentence_meanings/I-see-to-send-out.mp3,LMS;clip-pack,2
我看见白天。,I see a daytime.,白天,audio/sentences/我看见白天。.mp3,audio/sentence_meanings/I-see-a-daytime.mp3,LMS;clip-pack,2
我看见盆。,I see a basin.,盆,audio/sentences/我看见盆。.mp3,audio/sentence_meanings/I-see-a-basin.mp3,LMS;clip-pack,2
我看见看起来。,I see to look.,看起来,audio/sentences/我看见看起来。.mp3,audio/sentence_meanings/I-see-to-look.mp3,LMS;clip-pack,2
我看见睡。,I see to sleep.,睡,audio/sentences/我看见睡。.mp3,audio/sentence_meanings/I-see-to-sleep.mp3,LMS;clip-pack,2
我看见石头。,I see a stone.,石头,audio/sentences/我看见石头。.mp3,audio/sentence_meanings/I-see-a-stone.mp3,LMS;clip-pack,2
我看见礼物。,I see a gift.,礼物,audio/sentences/我看见礼物。.mp3,audio/sentence_meanings/I-see-a-gift.mp3,LMS;clip-pack,2
我看见空。,I see an empty.,空,audio/sentences/我看见空。.mp3,audio/sentence_meanings/I-see-an-empty.mp3,LMS;clip-pack,2
我看见站。,I see to stand.,站,audio/sentences/我看见站。.mp3,audio/sentence_meanings/I-see-to-stand.mp3,LMS;clip-pack,2
我看见第。,I see an ordinal prefix.,第,audio/sentences/我看见第。.mp3,audio/sentence_meanings/I-see-an-ordinal-prefix.mp3,LMS;clip-pack,2
我看见等到。,I see to wait until.,等到,audio/sentences/我看见等到。.mp3,audio/sentence_meanings/I-see-to-wait-until.mp3,LMS;clip-pack,2
我看见美。,I see a beautiful.,美,audio/sentences/我看见美。.mp3,audio/sentence_meanings/I-see-a-beautiful.mp3,LMS;clip-pack,2
我看见美丽。,I see a beautiful.,美丽,audio/sentences/我看见美丽。.mp3,audio/sentence_meanings/I-see-a-beautiful.mp3,LMS;clip-pack,2
我看见耳朵。,I see an ear.,耳朵,audio/sentences/我看见耳朵。.mp3,audio/sentence_meanings/I-see-an-ear.mp3,LMS;clip-pack,2
我看见圣人。,I see a sage.,圣人,audio/sentences/我看见圣人。.mp3,audio/sentence_meanings/I-see-a-sage.mp3,LMS;clip-pack,2
我看见自己。,I see an oneself.,自己,audio/sentences/我看见自己。.mp3,audio/sentence_meanings/I-see-an-oneself.mp3,LMS;clip-pack,2
我看见舞。,I see a dance.,舞,audio/sentences/我看见舞。.mp3,audio/sentence_meanings/I-see-a-dance.mp3,LMS;clip-pack,2
我看见花。,I see a flower.,花,audio/sentences/我看见花。.mp3,audio/sentence_meanings/I-see-a-flower.mp3,LMS;clip-pack,2
我看见蛋。,I see an egg.,蛋,audio/sentences/我看见蛋。.mp3,audio/sentence_meanings/I-see-an-egg.mp3,LMS;clip-pack,2
我看见里面。,I see an inside.,里面,audio/sentences/我看见里面。.mp3,audio/sentence_meanings/I-see-an-inside.mp3,LMS;clip-pack,2
我看见见。,I see to see.,见,audio/sentences/我看见见。.mp3,audio/sentence_meanings/I-see-to-see.mp3,LMS;clip-pack,2
我看见许多。,I see a many.,许多,audio/sentences/我看见许多。.mp3,audio/sentence_meanings/I-see-a-many.mp3,LMS;clip-pack,2
我看见变。,I see to change.,变,audio/sentences/我看见变。.mp3,audio/sentence_meanings/I-see-to-change.mp3,LMS;clip-pack,2
我看见变成。,I see to become.,变成,audio/sentences/我看见变成。.mp3,audio/sentence_meanings/I-see-to-become.mp3,LMS;clip-pack,2
我看见走出。,I see to walk out of.,走出,audio/sentences/我看见走出。.mp3,audio/sentence_meanings/I-see-to-walk-out-of.mp3,LMS;clip-pack,2
我看见走向。,I see to walk toward.,走向,audio/sentences/我看见走向。.mp3,audio/sentence_meanings/I-see-to-walk-toward.mp3,LMS;clip-pack,2
我看见起来。,I see to get up.,起来,audio/sentences/我看见起来。.mp3,audio/sentence_meanings/I-see-to-get-up.mp3,LMS;clip-pack,2
我看见跟。,I see a follow.,跟,audio/sentences/我看见跟。.mp3,audio/sentence_meanings/I-see-a-follow.mp3,LMS;clip-pack,2
我看见跳。,I see to jump.,跳,audio/sentences/我看见跳。.mp3,audio/sentence_meanings/I-see-to-jump.mp3,LMS;clip-pack,2
我看见身上。,I see an on one's body.,身上,audio/sentences/我看见身上。.mp3,audio/sentence_meanings/I-see-an-on-one's-body.mp3,LMS;clip-pack,2
我看见这些。,I see a these.,这些,audio/sentences/我看见这些。.mp3,audio/sentence_meanings/I-see-a-these.mp3,LMS;clip-pack,2
我看见这儿。,I see a here.,这儿,audio/sentences/我看见这儿。.mp3,audio/sentence_meanings/I-see-a-here.mp3,LMS;clip-pack,2
我看见这样。,I see a like this.,这样,audio/sentences/我看见这样。.mp3,audio/sentence_meanings/I-see-a-like-this.mp3,LMS;clip-pack,2
我看见这里。,I see a here.,这里,audio/sentences/我看见这里。.mp3,audio/sentence_meanings/I-see-a-here.mp3,LMS;clip-pack,2
我看见过。,I see to pass.,过,audio/sentences/我看见过。.mp3,audio/sentence_meanings/I-see-to-pass.mp3,LMS;clip-pack,2
我看见道。,I see a way.,道,audio/sentences/我看见道。.mp3,audio/sentence_meanings/I-see-a-way.mp3,LMS;clip-pack,2
我看见避。,I see to avoid.,避,audio/sentences/我看见避。.mp3,audio/sentence_meanings/I-see-to-avoid.mp3,LMS;clip-pack,2
我看见边。,I see a side.,边,audio/sentences/我看见边。.mp3,audio/sentence_meanings/I-see-a-side.mp3,LMS;clip-pack,2
我看见那里。,I see a there.,那里,audio/sentences/我看见那里。.mp3,audio/sentence_meanings/I-see-a-there.mp3,LMS;clip-pack,2
我看见酒。,I see an alcohol.,酒,audio/sentences/我看见酒。.mp3,audio/sentence_meanings/I-see-an-alcohol.mp3,LMS;clip-pack,2
我看见钓鱼。,I see to fish.,钓鱼,audio/sentences/我看见钓鱼。.mp3,audio/sentence_meanings/I-see-to-fish.mp3,LMS;clip-pack,2
我看见长生。,I see a long life.,长生,audio/sentences/我看见长生。.mp3,audio/sentence_meanings/I-see-a-long-life.mp3,LMS;clip-pack,2
我看见闭。,I see to close.,闭,audio/sentences/我看见闭。.mp3,audio/sentence_meanings/I-see-to-close.mp3,LMS;clip-pack,2
我看见开门。,I see to open the door.,开门,audio/sentences/我看见开门。.mp3,audio/sentence_meanings/I-see-to-open-the-door.mp3,LMS;clip-pack,2
我看见关于。,I see an about.,关于,audio/sentences/我看见关于。.mp3,audio/sentence_meanings/I-see-an-about.mp3,LMS;clip-pack,2
我看见离开。,I see a leave.,离开,audio/sentences/我看见离开。.mp3,audio/sentence_meanings/I-see-a-leave.mp3,LMS;clip-pack,2
我看见云。,I see a cloud.,云,audio/sentences/我看见云。.mp3,audio/sentence_meanings/I-see-a-cloud.mp3,LMS;clip-pack,2
我看见雷电。,I see a thunder and lightning.,雷电,audio/sentences/我看见雷电。.mp3,audio/sentence_meanings/I-see-a-thunder-and-lightning.mp3,LMS;clip-pack,2
我看见需要。,I see to need.,需要,audio/sentences/我看见需要。.mp3,audio/sentence_meanings/I-see-to-need.mp3,LMS;clip-pack,2
我看见头。,I see a head.,头,audio/sentences/我看见头。.mp3,audio/sentence_meanings/I-see-a-head.mp3,LMS;clip-pack,2
我看见风。,I see a wind.,风,audio/sentences/我看见风。.mp3,audio/sentence_meanings/I-see-a-wind.mp3,LMS;clip-pack,2
我看见飞过。,I see to fly over.,飞过,audio/sentences/我看见飞过。.mp3,audio/sentence_meanings/I-see-to-fly-over.mp3,LMS;clip-pack,2
我看见马上。,I see an immediately.,马上,audio/sentences/我看见马上。.mp3,audio/sentence_meanings/I-see-an-immediately.mp3,LMS;clip-pack,2
我看见鸟。,I see a bird.,鸟,audio/sentences/我看见鸟。.mp3,audio/sentence_meanings/I-see-a-bird.mp3,LMS;clip-pack,2
我看见有一天。,I see an one day.,有一天,audio/sentences/我看见有一天。.mp3,audio/sentence_meanings/I-see-an-one-day.mp3,LMS;clip-pack,2
我看见亲爱的。,I see a dear.,亲爱的,audio/sentences/我看见亲爱的。.mp3,audio/sentence_meanings/I-see-a-dear.mp3,LMS;clip-pack,2
我看见很多。,I see a lot.,很多,audio/sentences/我看见很多。.mp3,audio/sentence_meanings/I-see-a-lot.mp3,LMS;clip-pack,2
我看见看到。,I see to see.,看到,audio/sentences/我看见看到。.mp3,audio/sentence_meanings/I-see-to-see.mp3,LMS;clip-pack,2
我看见只有。,I see an only.,只有,audio/sentences/我看见只有。.mp3,audio/sentence_meanings/I-see-an-only.mp3,LMS;clip-pack,2
我看见是的。,I see a yes.,是的,audio/sentences/我看见是的。.mp3,audio/sentence_meanings/I-see-a-yes.mp3,LMS;clip-pack,2
我看见住在。,I see to live in.,住在,audio/sentences/我看见住在。.mp3,audio/sentence_meanings/I-see-to-live-in.mp3,LMS;clip-pack,2
我看见一开始。,I see an at the beginning.,一开始,audio/sentences/我看见一开始。.mp3,audio/sentence_meanings/I-see-an-at-the-beginning.mp3,LMS;clip-pack,2
我看见流向。,I see to flow toward.,流向,audio/sentences/我看见流向。.mp3,audio/sentence_meanings/I-see-to-flow-toward.mp3,LMS;clip-pack,2
我看见的时侯。,I see a when.,的时侯,audio/sentences/我看见的时侯。.mp3,audio/sentence_meanings/I-see-a-when.mp3,LMS;clip-pack,2
我看见等着。,I see to be waiting.,等着,audio/sentences/我看见等着。.mp3,audio/sentence_meanings/I-see-to-be-waiting.mp3,LMS;clip-pack,2
我看见海中。,I see an in the sea.,海中,audio/sentences/我看见海中。.mp3,audio/sentence_meanings/I-see-an-in-the-sea.mp3,LMS;clip-pack,2
我看见看着。,I see to look at.,看着,audio/sentences/我看见看着。.mp3,audio/sentence_meanings/I-see-to-look-at.mp3,LMS;clip-pack,2
我看见哭着。,I see a crying.,哭着,audio/sentences/我看见哭着。.mp3,audio/sentence_meanings/I-see-a-crying.mp3,LMS;clip-pack,2
我看见学着。,I see a learning.,学着,audio/sentences/我看见学着。.mp3,audio/sentence_meanings/I-see-a-learning.mp3,LMS;clip-pack,2
我看见笑着。,I see a smiling.,笑着,audio/sentences/我看见笑着。.mp3,audio/sentence_meanings/I-see-a-smiling.mp3,LMS;clip-pack,2
我看见弯刀。,I see a curved blade.,弯刀,audio/sentences/我看见弯刀。.mp3,audio/sentence_meanings/I-see-a-curved-blade.mp3,LMS;clip-pack,2
我看见说过。,I see a have said.,说过,audio/sentences/我看见说过。.mp3,audio/sentence_meanings/I-see-a-have-said.mp3,LMS;clip-pack,2
我看见吧。,I see a suggestion particle.,吧,audio/sentences/我看见吧。.mp3,audio/sentence_meanings/I-see-a-suggestion-particle.mp3,LMS;clip-pack,2
我看见一。,I see an one.,一,audio/sentences/我看见一。.mp3,audio/sentence_meanings/I-see-an-one.mp3,LMS;clip-pack,2
我看见一下。,I see a moment.,一下,audio/sentences/我看见一下。.mp3,audio/sentence_meanings/I-see-a-moment.mp3,LMS;clip-pack,2
我看见一些。,I see a some.,一些,audio/sentences/我看见一些。.mp3,audio/sentence_meanings/I-see-a-some.mp3,LMS;clip-pack,2
我看见一定。,I see a definitely.,一定,audio/sentences/我看见一定。.mp3,audio/sentence_meanings/I-see-a-definitely.mp3,LMS;clip-pack,2
我看见一会儿。,I see a moment.,一会儿,audio/sentences/我看见一会儿。.mp3,audio/sentence_meanings/I-see-a-moment.mp3,LMS;clip-pack,2
我看见一起。,I see a together.,一起,audio/sentences/我看见一起。.mp3,audio/sentence_meanings/I-see-a-together.mp3,LMS;clip-pack,2
我看见一点儿。,I see a little bit.,一点儿,audio/sentences/我看见一点儿。.mp3,audio/sentence_meanings/I-see-a-little-bit.mp3,LMS;clip-pack,2
我看见七。,I see a seven.,七,audio/sentences/我看见七。.mp3,audio/sentence_meanings/I-see-a-seven.mp3,LMS;clip-pack,2
我看见三。,I see a three.,三,audio/sentences/我看见三。.mp3,audio/sentence_meanings/I-see-a-three.mp3,LMS;clip-pack,2
我看见上。,I see an up.,上,audio/sentences/我看见上。.mp3,audio/sentence_meanings/I-see-an-up.mp3,LMS;clip-pack,2
我看见上去。,I see to go up.,上去,audio/sentences/我看见上去。.mp3,audio/sentence_meanings/I-see-to-go-up.mp3,LMS;clip-pack,2
